ISO3,COUNTRY_NAME,GLOBIOM_COUNTRY
PRT,Portugal,Portugal
PRI,Puerto Rico,PuertoRico
QAT,Qatar,Qatar
REU,Reunion,Reunion
ROU,Romania,Romania
RUS,Russian Federation,RussianFed
RWA,Rwanda,Rwanda
BLM,Saint Barth�lemy,NotAccounted
SHN,"Saint Helena, Ascension and Tristan da Cunha",NotAccounted
KNA,Saint Kitts and Nevis,NotAccounted
LCA,Saint Lucia,NotAccounted
MAF,Saint Martin (French part),NotAccounted
SPM,Saint Pierre and Miquelon,NotAccounted
VCT,Saint Vincent and the Grenadines,NotAccounted
WSM,Samoa,Samoa
SMR,San Marino,NotAccounted
STP,Sao Tome and Principe,NotAccounted
SAU,Saudi Arabia,SaudiArabia
SEN,Senegal,Senegal
SRB,Serbia,Serbia-Monte
SYC,Seychelles,NotAccounted
SLE,Sierra Leone,SierraLeone
SGP,Singapore,Singapore
SXM,Sint Maarten (Dutch part),NotAccounted
SVK,Slovakia,Slovakia
SVN,Slovenia,Slovenia
SLB,Solomon Islands,SolomonIs
SOM,Somalia,Somalia
ZAF,South Africa,SouthAfrica
SGS,South Georgia and the South Sandwich Islands,NotAccounted
SSD,South Sudan,NotAccounted
ESP,Spain,Spain
LKA,Sri Lanka,SriLanka
SDN,Sudan,Sudan
SUR,Suriname,Suriname
SJM,Svalbard and Jan Mayen,NotAccounted
SWZ,Swaziland,Swaziland
SWE,Sweden,Sweden
CHE,Switzerland,Switzerland
SYR,Syrian Arab Republic,Syria
TWN,"Taiwan, Province of China",NotAccounted
TJK,Tajikistan,Tajikistan
TZA,"Tanzania, United Republic of",Tanzania
THA,Thailand,Thailand
TLS,Timor-Leste,TimorLeste
TGO,Togo,Togo
TKL,Tokelau,NotAccounted
TON,Tonga,NotAccounted
TTO,Trinidad and Tobago,TrinidadTob
TUN,Tunisia,Tunisia
TUR,Turkey,Turkey
TKM,Turkmenistan,Turkmenistan
TCA,Turks and Caicos Islands,NotAccounted
TUV,Tuvalu,NotAccounted
UGA,Uganda,Uganda
UKR,Ukraine,Ukraine
ARE,United Arab Emirates,UntdArabEm
GBR,United Kingdom,UK
USA,United States,USA
UMI,United States Minor Outlying Islands,NotAccounted
URY,Uruguay,Uruguay
UZB,Uzbekistan,Uzbekistan
VUT,Vanuatu,Vanuatu
VEN,"Venezuela, Bolivarian Republic of",Venezuela
VNM,Viet Nam,VietNam
VGB,"Virgin Islands, British",NotAccounted
VIR,"Virgin Islands, U.S.",NotAccounted
WLF,Wallis and Futuna,NotAccounted
ESH,Western Sahara,WestSahara
YEM,Yemen,Yemen
ZMB,Zambia,Zambia
ZWE,Zimbabwe,Zimbabwe
